"Blue 1" "Blue 2" "Blue 3" "Blue Cargo Points" "Blue Endgame Points" "Blue Hatch Points" "Blue RP" "Blue Sandstorm Points" "Blue Score" Event "Match Number" "Match Timestamp" "Match Type" "Red 1" "Red 2" "Red 3" "Red Cargo Points" "Red Endgame Points" "Red Hatch Points" "Red RP" "Red Sandstorm Points" "Red Score"
frc5190 frc7671 frc4828 21.0 18.0 6.0 0.0 12.0 57.0 2019ncwak 1.0 1552247655.0 f frc4561 frc5511 frc4291 21.0 18.0 8.0 0.0 12.0 68.0
frc5190 frc7671 frc4828 18.0 9.0 8.0 0.0 12.0 53.0 2019ncwak 2.0 1552248374.0 f frc4561 frc5511 frc4291 15.0 18.0 8.0 0.0 12.0 53.0
frc5190 frc7671 frc4828 18.0 9.0 4.0 0.0 12.0 53.0 2019ncwak 3.0 1552249217.0 f frc4561 frc5511 frc4291 24.0 15.0 8.0 0.0 12.0 65.0
frc3459 frc5607 frc6502 12.0 6.0 0.0 0.0 12.0 30.0 2019ncwak 1.0 1552240968.0 qf frc4561 frc5511 frc4291 21.0 18.0 6.0 0.0 6.0 51.0
frc3459 frc5607 frc6502 18.0 9.0 2.0 0.0 12.0 44.0 2019ncwak 2.0 1552242349.0 qf frc4561 frc5511 frc4291 21.0 18.0 10.0 0.0 12.0 61.0
frc2682 frc3229 frc7763 18.0 9.0 4.0 0.0 15.0 52.0 2019ncwak 1.0 1552239575.0 qf frc3737 frc2059 frc7029 12.0 18.0 2.0 0.0 12.0 47.0
frc2682 frc3229 frc7763 6.0 9.0 2.0 0.0 15.0 38.0 2019ncwak 2.0 1552241357.0 qf frc3737 frc2059 frc7029 9.0 21.0 4.0 0.0 6.0 46.0
frc2682 frc3229 frc7763 9.0 9.0 4.0 0.0 9.0 31.0 2019ncwak 3.0 1552243262.0 qf frc3737 frc2059 frc7029 12.0 21.0 4.0 0.0 9.0 49.0
frc6500 frc5762 frc5518 21.0 6.0 2.0 0.0 15.0 47.0 2019ncwak 1.0 1552240058.0 qf frc5190 frc7671 frc4828 21.0 21.0 2.0 0.0 6.0 50.0
frc6500 frc5762 frc5518 18.0 9.0 4.0 0.0 12.0 43.0 2019ncwak 2.0 1552241817.0 qf frc5190 frc7671 frc4828 21.0 6.0 8.0 0.0 9.0 54.0
frc5160 frc6908 frc6565 15.0 6.0 2.0 0.0 12.0 35.0 2019ncwak 1.0 1552240540.0 qf frc2642 frc900 frc6332 15.0 3.0 6.0 0.0 9.0 33.0
frc5160 frc6908 frc6565 21.0 9.0 2.0 0.0 6.0 38.0 2019ncwak 2.0 1552242732.0 qf frc2642 frc900 frc6332 18.0 18.0 6.0 0.0 15.0 63.0
frc5160 frc6908 frc6565 6.0 9.0 2.0 0.0 12.0 35.0 2019ncwak 3.0 1552243870.0 qf frc2642 frc900 frc6332 18.0 18.0 4.0 0.0 15.0 67.0
frc7029 frc4828 frc2642 3.0 6.0 2.0 0.0 0.0 11.0 2019ncwak 1.0 1552148236.0 qm frc6565 frc5607 frc5190 18.0 9.0 4.0 2.0 6.0 37.0
frc6502 frc7463 frc7739 0.0 0.0 2.0 0.0 3.0 5.0 2019ncwak 10.0 1552154119.0 qm frc900 frc5919 frc3459 3.0 0.0 6.0 2.0 6.0 18.0
frc2682 frc5607 frc4561 18.0 9.0 8.0 2.0 15.0 56.0 2019ncwak 11.0 1552154698.0 qm frc6908 frc7029 frc4816 18.0 0.0 0.0 0.0 3.0 21.0
frc6215 frc4291 frc5160 0.0 0.0 2.0 0.0 6.0 8.0 2019ncwak 12.0 1552155151.0 qm frc3229 frc6240 frc2642 21.0 6.0 4.0 2.0 12.0 49.0
frc7739 frc5919 frc4828 0.0 3.0 2.0 0.0 3.0 8.0 2019ncwak 13.0 1552155691.0 qm frc5518 frc7671 frc7675 12.0 9.0 2.0 2.0 6.0 32.0
frc3737 frc6565 frc6502 6.0 9.0 6.0 0.0 9.0 30.0 2019ncwak 14.0 1552156182.0 qm frc3459 frc5762 frc3336 18.0 9.0 0.0 2.0 3.0 39.0
frc7463 frc3796 frc7715 0.0 3.0 0.0 0.0 0.0 15.0 2019ncwak 15.0 1552156708.0 qm frc6215 frc7029 frc4561 9.0 6.0 0.0 2.0 12.0 27.0
frc4291 frc2642 frc2059 24.0 0.0 4.0 0.0 12.0 46.0 2019ncwak 16.0 1552157405.0 qm frc5160 frc6426 frc2682 12.0 9.0 10.0 2.0 15.0 49.0
frc3229 frc4816 frc7763 18.0 3.0 4.0 2.0 9.0 34.0 2019ncwak 17.0 1552158506.0 qm frc5511 frc6332 frc6240 3.0 12.0 10.0 0.0 3.0 28.0
frc5607 frc900 frc435 6.0 6.0 6.0 0.0 9.0 27.0 2019ncwak 18.0 1552158933.0 qm frc6908 frc6500 frc5190 18.0 6.0 8.0 2.0 9.0 41.0
frc4291 frc2682 frc7671 3.0 9.0 4.0 2.0 12.0 31.0 2019ncwak 19.0 1552159390.0 qm frc7739 frc6426 frc6565 0.0 9.0 0.0 0.0 12.0 21.0
frc6426 frc7715 frc3459 0.0 3.0 4.0 2.0 6.0 13.0 2019ncwak 2.0 1552148957.0 qm frc3796 frc4816 frc5919 0.0 0.0 0.0 0.0 3.0 6.0
frc4561 frc2642 frc5518 12.0 9.0 10.0 2.0 15.0 46.0 2019ncwak 20.0 1552159893.0 qm frc3459 frc7675 frc4816 6.0 6.0 0.0 0.0 6.0 21.0
frc5160 frc6908 frc5762 12.0 6.0 4.0 2.0 9.0 31.0 2019ncwak 21.0 1552160519.0 qm frc5919 frc6332 frc3737 0.0 3.0 6.0 0.0 6.0 18.0
frc3796 frc900 frc3336 12.0 9.0 4.0 2.0 6.0 31.0 2019ncwak 22.0 1552161030.0 qm frc7463 frc6215 frc6240 0.0 3.0 0.0 0.0 0.0 3.0
frc3229 frc7715 frc5511 12.0 15.0 2.0 3.0 9.0 47.0 2019ncwak 23.0 1552161734.0 qm frc4828 frc6500 frc5607 15.0 6.0 0.0 0.0 6.0 27.0
frc435 frc7029 frc7763 9.0 6.0 0.0 0.0 3.0 18.0 2019ncwak 24.0 1552162257.0 qm frc2059 frc5190 frc6502 15.0 0.0 4.0 2.0 9.0 31.0
frc6565 frc7675 frc6908 0.0 9.0 0.0 2.0 15.0 48.0 2019ncwak 25.0 1552162694.0 qm frc5762 frc3796 frc2642 18.0 3.0 4.0 0.0 12.0 47.0
frc5518 frc4828 frc6426 3.0 15.0 6.0 1.0 9.0 46.0 2019ncwak 26.0 1552163175.0 qm frc900 frc3737 frc4291 3.0 6.0 10.0 2.0 9.0 64.0
frc5190 frc7763 frc7739 24.0 6.0 8.0 0.0 6.0 47.0 2019ncwak 27.0 1552164096.0 qm frc5511 frc4561 frc5919 24.0 15.0 6.0 3.0 12.0 57.0
frc2059 frc6240 frc3459 0.0 9.0 0.0 0.0 6.0 15.0 2019ncwak 28.0 1552164688.0 qm frc6502 frc3336 frc5607 12.0 9.0 2.0 2.0 9.0 32.0
frc7671 frc6215 frc4816 9.0 6.0 0.0 0.0 6.0 21.0 2019ncwak 29.0 1552165170.0 qm frc435 frc7463 frc5160 0.0 6.0 6.0 2.0 6.0 33.0
frc7463 frc3737 frc6500 3.0 3.0 2.0 2.0 6.0 14.0 2019ncwak 3.0 1552149584.0 qm frc6240 frc7739 frc435 0.0 0.0 0.0 0.0 3.0 3.0
frc7029 frc3229 frc6500 21.0 3.0 4.0 2.0 12.0 50.0 2019ncwak 30.0 1552165652.0 qm frc6332 frc2682 frc7715 12.0 6.0 2.0 0.0 3.0 26.0
frc5190 frc3796 frc6240 9.0 6.0 2.0 2.0 6.0 26.0 2019ncwak 31.0 1552166100.0 qm frc4291 frc5518 frc7739 0.0 3.0 4.0 0.0 6.0 16.0
frc5607 frc5762 frc5511 18.0 18.0 8.0 3.0 6.0 63.0 2019ncwak 32.0 1552166604.0 qm frc5160 frc4561 frc900 15.0 9.0 6.0 0.0 12.0 42.0
frc6215 frc6500 frc6332 18.0 9.0 0.0 2.0 6.0 33.0 2019ncwak 33.0 1552167059.0 qm frc6426 frc3336 frc5919 3.0 9.0 0.0 0.0 9.0 24.0
frc2642 frc7715 frc435 24.0 6.0 6.0 0.0 9.0 45.0 2019ncwak 34.0 1552167502.0 qm frc7763 frc7675 frc7463 3.0 0.0 0.0 2.0 6.0 75.0
frc6908 frc3737 frc7671 12.0 3.0 6.0 2.0 9.0 33.0 2019ncwak 35.0 1552167971.0 qm frc3459 frc6502 frc7029 0.0 3.0 0.0 0.0 6.0 12.0
frc4816 frc2682 frc6565 18.0 6.0 0.0 0.0 15.0 39.0 2019ncwak 36.0 1552168523.0 qm frc3229 frc4828 frc2059 15.0 18.0 4.0 3.0 9.0 46.0
frc5518 frc435 frc6332 6.0 6.0 8.0 0.0 3.0 23.0 2019ncwak 37.0 1552169074.0 qm frc2642 frc6426 frc5511 18.0 15.0 10.0 3.0 3.0 49.0
frc6240 frc5607 frc4291 0.0 0.0 0.0 0.0 9.0 9.0 2019ncwak 38.0 1552169469.0 qm frc7675 frc6502 frc4561 21.0 6.0 4.0 2.0 12.0 46.0
frc7739 frc2059 frc6215 0.0 15.0 0.0 1.0 6.0 27.0 2019ncwak 39.0 1552169887.0 qm frc6500 frc3459 frc6565 15.0 6.0 0.0 2.0 9.0 30.0
frc3336 frc2059 frc4561 12.0 6.0 2.0 0.0 9.0 29.0 2019ncwak 4.0 1552150141.0 qm frc7671 frc5160 frc3229 15.0 9.0 14.0 2.0 9.0 47.0
frc5190 frc3229 frc5919 12.0 9.0 6.0 0.0 12.0 39.0 2019ncwak 40.0 1552170402.0 qm frc900 frc6908 frc7715 0.0 18.0 12.0 3.0 9.0 48.0
frc4816 frc5160 frc3336 15.0 6.0 6.0 0.0 3.0 30.0 2019ncwak 41.0 1552170855.0 qm frc3737 frc7029 frc5762 18.0 6.0 2.0 2.0 6.0 32.0
frc7671 frc7763 frc3796 9.0 6.0 0.0 2.0 9.0 24.0 2019ncwak 42.0 1552171267.0 qm frc4828 frc2682 frc7463 6.0 3.0 0.0 0.0 6.0 21.0
frc4561 frc4291 frc3459 21.0 9.0 4.0 3.0 12.0 58.0 2019ncwak 43.0 1552171726.0 qm frc435 frc5511 frc6500 18.0 15.0 8.0 1.0 9.0 50.0
frc900 frc6565 frc3229 0.0 6.0 12.0 2.0 15.0 39.0 2019ncwak 44.0 1552172282.0 qm frc6215 frc5919 frc7675 3.0 9.0 0.0 0.0 6.0 21.0
frc6426 frc6240 frc6908 9.0 9.0 0.0 2.0 9.0 37.0 2019ncwak 45.0 1552172875.0 qm frc5762 frc7763 frc4828 12.0 9.0 0.0 0.0 6.0 27.0
frc3336 frc6332 frc7029 9.0 6.0 0.0 0.0 6.0 21.0 2019ncwak 46.0 1552173667.0 qm frc2682 frc7739 frc3796 9.0 6.0 0.0 2.0 9.0 30.0
frc7715 frc6502 frc5518 3.0 3.0 8.0 0.0 9.0 23.0 2019ncwak 47.0 1552174102.0 qm frc5607 frc5160 frc3737 9.0 6.0 14.0 2.0 12.0 41.0
frc2059 frc7671 frc7463 18.0 18.0 0.0 3.0 6.0 42.0 2019ncwak 48.0 1552174698.0 qm frc2642 frc4816 frc5190 21.0 9.0 6.0 0.0 3.0 39.0
frc2682 frc7763 frc900 0.0 12.0 8.0 2.0 9.0 32.0 2019ncwak 49.0 1552175208.0 qm frc4291 frc3336 frc6908 18.0 6.0 0.0 0.0 3.0 27.0
frc7675 frc900 frc5762 6.0 15.0 4.0 3.0 6.0 49.0 2019ncwak 5.0 1552150851.0 qm frc6332 frc4291 frc7763 0.0 0.0 2.0 0.0 0.0 12.0
frc6565 frc6215 frc5762 18.0 6.0 0.0 2.0 12.0 36.0 2019ncwak 50.0 1552175657.0 qm frc7715 frc5607 frc7029 0.0 3.0 0.0 0.0 9.0 15.0
frc4816 frc4828 frc5511 0.0 15.0 6.0 1.0 6.0 33.0 2019ncwak 51.0 1552176109.0 qm frc6332 frc7671 frc6502 21.0 6.0 2.0 2.0 6.0 35.0
frc7739 frc3459 frc5160 6.0 18.0 6.0 1.0 6.0 36.0 2019ncwak 52.0 1552176763.0 qm frc6500 frc7675 frc2642 18.0 6.0 2.0 2.0 12.0 38.0
frc5190 frc4561 frc7463 21.0 3.0 6.0 2.0 9.0 62.0 2019ncwak 53.0 1552177192.0 qm frc6426 frc3229 frc3737 24.0 6.0 12.0 0.0 15.0 60.0
frc5919 frc5518 frc6240 0.0 6.0 2.0 0.0 6.0 17.0 2019ncwak 54.0 1552177768.0 qm frc2059 frc435 frc3796 12.0 15.0 4.0 3.0 9.0 40.0
frc7715 frc4291 frc7675 6.0 9.0 0.0 2.0 9.0 39.0 2019ncwak 55.0 1552178187.0 qm frc4816 frc6332 frc7739 0.0 6.0 0.0 0.0 6.0 12.0
frc6500 frc6502 frc6426 18.0 6.0 2.0 0.0 12.0 38.0 2019ncwak 56.0 1552178660.0 qm frc5607 frc7463 frc6908 15.0 6.0 0.0 2.0 9.0 42.0
frc2642 frc3336 frc6215 21.0 6.0 2.0 0.0 9.0 41.0 2019ncwak 57.0 1552179205.0 qm frc4561 frc7671 frc4828 24.0 18.0 4.0 3.0 12.0 67.0
frc6565 frc5919 frc7029 9.0 6.0 0.0 2.0 12.0 27.0 2019ncwak 58.0 1552179681.0 qm frc7763 frc5160 frc6240 3.0 9.0 8.0 0.0 3.0 23.0
frc3459 frc3737 frc3796 6.0 6.0 8.0 0.0 9.0 29.0 2019ncwak 59.0 1552225968.0 qm frc5511 frc2059 frc900 9.0 18.0 10.0 3.0 9.0 46.0
frc6502 frc6908 frc2682 15.0 6.0 12.0 2.0 12.0 45.0 2019ncwak 6.0 1552151765.0 qm frc5511 frc6215 frc5518 0.0 3.0 4.0 0.0 9.0 19.0
frc5762 frc5190 frc435 21.0 9.0 2.0 0.0 9.0 47.0 2019ncwak 60.0 1552226630.0 qm frc2682 frc5518 frc3229 24.0 6.0 6.0 2.0 15.0 51.0
frc4828 frc6565 frc5160 3.0 18.0 6.0 1.0 12.0 39.0 2019ncwak 61.0 1552227265.0 qm frc4561 frc4816 frc6426 18.0 6.0 0.0 2.0 12.0 42.0
frc7715 frc6240 frc6500 18.0 9.0 0.0 0.0 6.0 33.0 2019ncwak 62.0 1552227653.0 qm frc7671 frc2642 frc900 24.0 9.0 4.0 2.0 9.0 52.0
frc5762 frc7739 frc3229 9.0 6.0 0.0 0.0 3.0 18.0 2019ncwak 63.0 1552228250.0 qm frc6502 frc3796 frc6215 0.0 9.0 6.0 2.0 9.0 24.0
frc7029 frc5511 frc4291 12.0 15.0 6.0 3.0 9.0 52.0 2019ncwak 64.0 1552228660.0 qm frc5919 frc6908 frc2059 18.0 18.0 2.0 1.0 9.0 47.0
frc7675 frc435 frc2682 15.0 6.0 2.0 0.0 12.0 38.0 2019ncwak 65.0 1552229108.0 qm frc3737 frc5190 frc3336 33.0 3.0 12.0 2.0 12.0 60.0
frc7463 frc3459 frc6332 0.0 9.0 0.0 0.0 9.0 18.0 2019ncwak 66.0 1552229503.0 qm frc7763 frc5518 frc5607 6.0 6.0 12.0 2.0 15.0 39.0
frc6500 frc2059 frc4816 15.0 12.0 0.0 2.0 9.0 36.0 2019ncwak 67.0 1552229994.0 qm frc6240 frc5762 frc6502 3.0 6.0 4.0 0.0 3.0 16.0
frc3336 frc5511 frc7675 21.0 18.0 8.0 3.0 12.0 59.0 2019ncwak 68.0 1552230393.0 qm frc7029 frc900 frc6426 9.0 18.0 6.0 1.0 12.0 45.0
frc6215 frc3459 frc2682 0.0 3.0 0.0 0.0 6.0 9.0 2019ncwak 69.0 1552230782.0 qm frc5160 frc5190 frc7715 18.0 3.0 8.0 2.0 6.0 35.0
frc435 frc6426 frc7671 9.0 6.0 0.0 2.0 12.0 27.0 2019ncwak 7.0 1552152375.0 qm frc3336 frc7715 frc6565 6.0 6.0 0.0 0.0 3.0 15.0
frc5607 frc7739 frc7671 12.0 6.0 0.0 0.0 9.0 30.0 2019ncwak 70.0 1552231233.0 qm frc3796 frc3229 frc4291 21.0 9.0 6.0 2.0 12.0 48.0
frc7763 frc2642 frc5919 15.0 6.0 10.0 2.0 15.0 46.0 2019ncwak 71.0 1552231658.0 qm frc4828 frc435 frc3737 12.0 6.0 6.0 0.0 9.0 33.0
frc6908 frc4561 frc6332 6.0 6.0 0.0 1.0 12.0 24.0 2019ncwak 72.0 1552232092.0 qm frc5518 frc7463 frc6565 0.0 6.0 0.0 1.0 15.0 24.0
frc7675 frc4828 frc5190 9.0 3.0 2.0 0.0 3.0 17.0 2019ncwak 8.0 1552152959.0 qm frc6332 frc5762 frc2059 12.0 15.0 0.0 3.0 6.0 45.0
frc3737 frc5511 frc7763 6.0 18.0 12.0 3.0 9.0 48.0 2019ncwak 9.0 1552153446.0 qm frc3796 frc6500 frc5518 0.0 0.0 4.0 0.0 6.0 13.0
frc3737 frc2059 frc7029 15.0 21.0 8.0 0.0 6.0 50.0 2019ncwak 1.0 1552244544.0 sf frc4561 frc5511 frc4291 21.0 18.0 8.0 0.0 12.0 68.0
frc3737 frc2059 frc7029 12.0 9.0 6.0 0.0 9.0 36.0 2019ncwak 2.0 1552245852.0 sf frc4561 frc5511 frc4291 30.0 18.0 8.0 0.0 12.0 68.0
frc2642 frc900 frc6332 24.0 18.0 8.0 0.0 15.0 68.0 2019ncwak 1.0 1552245030.0 sf frc5190 frc7671 frc4828 21.0 9.0 4.0 0.0 6.0 40.0
frc2642 frc900 frc6332 18.0 15.0 4.0 0.0 15.0 52.0 2019ncwak 2.0 1552246261.0 sf frc5190 frc7671 frc4828 24.0 18.0 8.0 0.0 12.0 62.0
frc2642 frc900 frc6332 21.0 15.0 8.0 0.0 9.0 53.0 2019ncwak 3.0 1552246936.0 sf frc5190 frc7671 frc4828 24.0 18.0 8.0 0.0 12.0 62.0
frc7890 frc4534 frc3661 24.0 12.0 4.0 0.0 15.0 55.0 2019ncpem 1.0 1554062972.0 f frc5544 frc5511 frc7265 18.0 21.0 4.0 0.0 15.0 61.0
frc7890 frc4534 frc3661 30.0 12.0 10.0 0.0 15.0 73.0 2019ncpem 2.0 1554063785.0 f frc5544 frc5511 frc7265 15.0 18.0 2.0 0.0 15.0 50.0
frc7890 frc4534 frc3661 27.0 12.0 10.0 0.0 15.0 64.0 2019ncpem 3.0 1554064839.0 f frc6426 frc5511 frc7265 15.0 18.0 2.0 0.0 15.0 50.0
frc7671 frc435 frc6004 21.0 18.0 10.0 0.0 12.0 61.0 2019ncpem 1.0 1554053521.0 qf frc5544 frc5511 frc7265 18.0 18.0 6.0 0.0 15.0 57.0
frc7671 frc435 frc6004 21.0 6.0 8.0 0.0 12.0 50.0 2019ncpem 2.0 1554055766.0 qf frc5544 frc5511 frc7265 24.0 18.0 8.0 0.0 15.0 65.0
frc7671 frc435 frc6004 18.0 18.0 8.0 0.0 12.0 59.0 2019ncpem 3.0 1554057991.0 qf frc5544 frc5511 frc7265 24.0 18.0 8.0 0.0 15.0 65.0
frc3336 frc3737 frc7443 24.0 6.0 12.0 0.0 15.0 57.0 2019ncpem 1.0 1554053948.0 qf frc2642 frc4291 frc6729 21.0 9.0 10.0 0.0 15.0 55.0
frc3336 frc3737 frc7443 18.0 6.0 10.0 0.0 15.0 49.0 2019ncpem 2.0 1554056179.0 qf frc2642 frc4291 frc6729 18.0 6.0 4.0 0.0 9.0 40.0
frc6639 frc5607 frc5160 18.0 12.0 2.0 0.0 15.0 47.0 2019ncpem 1.0 1554054730.0 qf frc2682 frc4795 frc6215 15.0 18.0 2.0 0.0 15.0 56.0
frc6639 frc5607 frc5160 15.0 12.0 2.0 0.0 15.0 50.0 2019ncpem 2.0 1554056698.0 qf frc2682 frc4795 frc6215 18.0 18.0 6.0 0.0 15.0 63.0
frc4829 frc6500 frc7029 18.0 15.0 10.0 0.0 15.0 58.0 2019ncpem 1.0 1554055272.0 qf frc7890 frc4534 frc3661 24.0 15.0 8.0 0.0 15.0 62.0
frc4829 frc6500 frc7029 15.0 18.0 12.0 0.0 15.0 60.0 2019ncpem 2.0 1554057568.0 qf frc7890 frc4534 frc3661 30.0 15.0 10.0 0.0 15.0 70.0
frc3822 frc5160 frc4534 21.0 12.0 8.0 2.0 12.0 53.0 2019ncpem 1.0 1553959037.0 qm frc7029 frc7671 frc6215 24.0 6.0 6.0 0.0 9.0 45.0
